order_month,total_order,total_revenue,average_order_value,preview_total_revenue,MoM_Growth_Percentage
2016-10,265,46566.71,175.72,NULL,NULL
2016-12,1,19.62,19.62,46566.71,-99.96
2017-01,750,127545.67,170.06,19.62,649979.87
2017-02,1653,271298.65,164.13,127545.67,112.71
2017-03,2546,414369.39,162.75,271298.65,52.74
2017-04,2303,390952.18,169.76,414369.39,-5.65
2017-05,3546,567066.73,159.92,390952.18,45.05
2017-06,3135,490225.60,156.37,567066.73,-13.55
2017-07,3872,566403.93,146.28,490225.60,15.54
2017-08,4193,646000.61,154.07,566403.93,14.05
2017-09,4150,701169.99,168.96,646000.61,8.54
2017-10,4478,751140.27,167.74,701169.99,7.13
2017-11,7289,1153528.05,158.26,751140.27,53.57
2017-12,5513,843199.17,152.95,1153528.05,-26.90
2018-01,7069,1078606.86,152.58,843199.17,27.92
2018-02,6555,966510.88,147.45,1078606.86,-10.39
2018-03,7003,1120678.00,160.03,966510.88,15.95
2018-04,6798,1132933.95,166.66,1120678.00,1.09
2018-05,6749,1128836.69,167.26,1132933.95,-0.36
2018-06,6099,1012090.68,165.94,1128836.69,-10.34
2018-07,6159,1027903.86,166.89,1012090.68,1.56
2018-08,6351,985414.28,155.16,1027903.86,-4.13
